No.,Periodo,Entidad_federativa,Defuciones_por_homicidio,Matrimonios,Divorcios
1,2010,Aguascalientes,65,6656,1427
2,2010,Baja_California,1408,16105,3123
3,2010,Baja_California_Sur,45,3195,564
4,2010,Campeche,39,4744,934
5,2010,Coahuila,389,15551,3261
6,2010,Colima,126,3314,924
7,2010,Chiapas,176,22974,1722
8,2010,Chihuahua,5816,16984,5174
9,2010,Ciudad_de_Mexico,932,34444,11053
10,2010,Durango,1012,10454,1379
11,2010,Guanajuato,397,28843,4464
12,2010,Guerrero,1427,23724,1344
13,2010,Hidalgo,90,9941,1301
14,2010,Jalisco,992,40055,4340
15,2010,México,1833,68277,8304
16,2010,Michoacan,657,27948,2887
17,2010,Morelos,452,7317,1218
18,2010,Nayarit,491,5591,903
19,2010,Nuevo_Leon,860,27988,6747
20,2010,Oaxaca,647,20373,605
21,2010,Puebla,322,20483,2342
22,2010,Queretaro,68,8316,1498
23,2010,Quintana_Roo,115,9735,1566
24,2010,San_Luis_Potosi,329,12429,1516
25,2010,Sinaloa,2300,16448,3260
26,2010,Sonora,684,14247,2869
27,2010,Tabasco,171,10706,1589
28,2010,Tamaulipas,836,18443,1900
29,2010,Tlaxcala,49,5077,313
30,2010,Veracruz,400,36487,4022
31,2010,Yucatan,31,12167,2055
32,2010,Zacatecas,126,9616,1438
33,2011,Aguascalientes,82,6396,1194
34,2011,Baja_California,802,15958,3410
35,2011,Baja_California_Sur,42,2917,712
36,2011,Campeche,47,4967,991
37,2011,Coahuila,730,15748,3392
38,2011,Colima,162,3375,873
39,2011,Chiapas,184,24149,1852
40,2011,Chihuahua,4494,16295,5694
41,2011,Ciudad_de_Mexico,1095,35086,11385
42,2011,Durango,958,9795,1435
43,2011,Guanajuato,614,28494,4741
44,2011,Guerrero,2409,23611,1319
45,2011,Hidalgo,208,10447,1390
46,2011,Jalisco,1526,39350,4392
47,2011,México,2608,64417,8937
48,2011,Michoacan,854,26858,3343
49,2011,Morelos,451,8122,1322
50,2011,Nayarit,587,6040,942
51,2011,Nuevo_Leon,2130,27328,6973
52,2011,Oaxaca,681,21092,570
53,2011,Puebla,437,19441,2429
54,2011,Queretaro,109,9037,1614
55,2011,Quintana_Roo,161,9497,1679
56,2011,San_Luis_Potosi,364,13088,1716
57,2011,Sinaloa,1983,17253,3554
58,2011,Sonora,536,14422,2826
59,2011,Tabasco,230,11419,1700
60,2011,Tamaulipas,1054,19027,2114
61,2011,Tlaxcala,86,5096,401
62,2011,Veracruz,994,40568,4441
63,2011,Yucatan,53,12027,2460
64,2011,Zacatecas,279,9634,1484
65,2012,Aguascalientes,45,6210,1417
66,2012,Baja_California,577,17535,3294
67,2012,Baja_California_Sur,37,2856,744
68,2012,Campeche,80,5267,1138
69,2012,Coahuila,1155,15384,3668
70,2012,Colima,265,3388,658
71,2012,Chiapas,389,24054,2120
72,2012,Chihuahua,2767,18728,6203
73,2012,Ciudad_de_Mexico,1085,35536,11105
74,2012,Durango,813,9674,1613
75,2012,Guanajuato,682,31310,4806
76,2012,Guerrero,2637,22595,1683
77,2012,Hidalgo,157,10143,1916
78,2012,Jalisco,1558,39127,4283
79,2012,México,2897,72465,12890
80,2012,Michoacan,824,26833,3586
81,2012,Morelos,671,7874,1391
82,2012,Nayarit,285,6112,1080
83,2012,Nuevo_Leon,1727,26942,7537
84,2012,Oaxaca,695,20922,782
85,2012,Puebla,464,21027,2892
86,2012,Queretaro,112,9253,1623
87,2012,Quintana_Roo,154,9180,1027
88,2012,San_Luis_Potosi,452,13452,1769
89,2012,Sinaloa,1394,17088,3761
90,2012,Sonora,520,14505,3018
91,2012,Tabasco,195,11097,1815
92,2012,Tamaulipas,1532,18248,2355
93,2012,Tlaxcala,73,5750,452
94,2012,Veracruz,1006,41356,4605
95,2012,Yucatan,41,11960,2476
96,2012,Zacatecas,461,9563,1802
97,2013,Aguascalientes,45,6369,1522
98,2013,Baja_California,760,17353,3378
99,2013,Baja_California_Sur,47,2820,837
100,2013,Campeche,71,4861,1192
101,2013,Coahuila,800,15861,5518
102,2013,Colima,225,3359,745
103,2013,Chiapas,491,28054,2103
104,2013,Chihuahua,2124,19191,6190
105,2013,Ciudad_de_Mexico,1110,37073,11030
106,2013,Durango,472,9463,1585
107,2013,Guanajuato,702,31643,5780
108,2013,Guerrero,2263,20565,2329
109,2013,Hidalgo,167,10610,2261
110,2013,Jalisco,1488,39687,4211
111,2013,México,3303,70188,18253
112,2013,Michoacan,922,25238,3595
113,2013,Morelos,626,7421,1341
114,2013,Nayarit,224,5540,1107
115,2013,Nuevo_Leon,912,26152,6595
116,2013,Oaxaca,762,20259,1037
117,2013,Puebla,555,19229,3100
118,2013,Queretaro,119,9734,2113
119,2013,Quintana_Roo,164,10191,1039
120,2013,San_Luis_Potosi,302,13478,1776
121,2013,Sinaloa,1220,17080,4159
122,2013,Sonora,648,15926,3247
123,2013,Tabasco,246,11628,1551
124,2013,Tamaulipas,843,17613,2034
125,2013,Tlaxcala,91,5704,487
126,2013,Veracruz,761,39510,4853
127,2013,Yucatan,49,12469,1923
128,2013,Zacatecas,416,8995,1836
129,2014,Aguascalientes,46,6790,1351
130,2014,Baja_California,707,17176,3037
131,2014,Baja_California_Sur,92,2620,731
132,2014,Campeche,78,5109,1361
133,2014,Coahuila,468,17055,7166
134,2014,Colima,140,3400,893
135,2014,Chiapas,460,30560,2301
136,2014,Chihuahua,1752,18789,5918
137,2014,Ciudad_de_Mexico,1098,36664,10233
138,2014,Durango,348,8704,1751
139,2014,Guanajuato,799,32415,6279
140,2014,Guerrero,1722,20250,2154
141,2014,Hidalgo,210,10446,2528
142,2014,Jalisco,1038,39821,4322
143,2014,México,2900,68166,18968
144,2014,Michoacan,932,24240,3534
145,2014,Morelos,437,7727,1349
146,2014,Nayarit,174,5616,1027
147,2014,Nuevo_Leon,556,25084,7958
148,2014,Oaxaca,745,17301,992
149,2014,Puebla,566,17525,3207
150,2014,Queretaro,106,9729,2237
151,2014,Quintana_Roo,125,10531,1474
152,2014,San_Luis_Potosi,269,13586,1579
153,2014,Sinaloa,1156,17183,5587
154,2014,Sonora,663,16035,3349
155,2014,Tabasco,235,11893,1694
156,2014,Tamaulipas,876,17406,2014
157,2014,Tlaxcala,88,4260,558
158,2014,Veracruz,879,39415,4266
159,2014,Yucatan,47,13205,1792
160,2014,Zacatecas,199,9012,1868
161,2015,Aguascalientes,45,6893,1736
162,2015,Baja_California,853,17364,3649
163,2015,Baja_California_Sur,180,2751,739
164,2015,Campeche,67,5005,1218
165,2015,Coahuila,313,17166,6184
166,2015,Colima,227,3284,882
167,2015,Chiapas,539,24645,2548
168,2015,Chihuahua,1536,20150,7076
169,2015,Ciudad_de_Mexico,1080,33230,12214
170,2015,Durango,198,8190,1935
171,2015,Guanajuato,970,32937,7383
172,2015,Guerrero,2410,19488,2006
173,2015,Hidalgo,233,10913,2567
174,2015,Jalisco,1229,36513,4222
175,2015,México,2682,69024,19944
176,2015,Michoacan,871,23361,4046
177,2015,Morelos,465,7358,1535
178,2015,Nayarit,143,5623,1108
179,2015,Nuevo_Leon,471,25378,8910
180,2015,Oaxaca,807,17199,1173
181,2015,Puebla,632,18219,2919
182,2015,Queretaro,139,9475,2654
183,2015,Quintana_Roo,145,10691,1821
184,2015,San_Luis_Potosi,263,12819,1696
185,2015,Sinaloa,1093,17333,5779
186,2015,Sonora,580,15682,3321
187,2015,Tabasco,372,10872,1705
188,2015,Tamaulipas,656,16649,3384
189,2015,Tlaxcala,80,5196,558
190,2015,Veracruz,1004,35030,4407
191,2015,Yucatan,58,10740,2676
192,2015,Zacatecas,335,8844,1888
193,2016,Aguascalientes,46,6679,3607
194,2016,Baja_California,1149,17130,3686
195,2016,Baja_California_Sur,238,2350,899
196,2016,Campeche,92,4521,2579
197,2016,Coahuila,257,15508,5964
198,2016,Colima,608,3396,1073
199,2016,Chiapas,552,18347,2420
200,2016,Chihuahua,1784,19161,8392
201,2016,Ciudad_de_Mexico,1279,32515,12780
202,2016,Durango,214,7469,1780
203,2016,Guanajuato,1228,34147,8223
204,2016,Guerrero,2580,20111,2697
205,2016,Hidalgo,219,9982,2463
206,2016,Jalisco,1298,37916,4732
207,2016,México,2758,68962,20026
208,2016,Michoacan,1425,22703,4432
209,2016,Morelos,659,8155,1479
210,2016,Nayarit,149,5709,1324
211,2016,Nuevo_Leon,627,27056,15239
212,2016,Oaxaca,792,17099,1280
213,2016,Puebla,735,18780,2651
214,2016,Queretaro,136,9105,2767
215,2016,Quintana_Roo,193,10408,1851
216,2016,San_Luis_Potosi,331,12491,1722
217,2016,Sinaloa,1300,16814,6133
218,2016,Sonora,578,15313,3757
219,2016,Tabasco,431,10260,1715
220,2016,Tamaulipas,801,16097,4662
221,2016,Tlaxcala,96,4901,667
222,2016,Veracruz,1288,31393,4461
223,2016,Yucatan,64,10802,2303
224,2016,Zacatecas,579,8469,2043
225,2017,Aguascalientes,84,6618,3607
226,2017,Baja_California,2160,16129,3223
227,2017,Baja_California_Sur,750,2500,881
228,2017,Campeche,78,4335,2168
229,2017,Coahuila,275,15082,4650
230,2017,Colima,863,3146,1311
231,2017,Chiapas,591,23137,2729
232,2017,Chihuahua,2248,15989,8930
233,2017,Ciudad_de_Mexico,1320,30868,12631
234,2017,Durango,200,7269,2083
235,2017,Guanajuato,2283,32458,8703
236,2017,Guerrero,2603,17314,3192
237,2017,Hidalgo,311,9402,2628
238,2017,Jalisco,1570,37756,4721
239,2017,México,3065,66914,20426
240,2017,Michoacan,1730,22617,4908
241,2017,Morelos,650,8205,1221
242,2017,Nayarit,474,5363,1644
243,2017,Nuevo_Leon,664,25594,16900
244,2017,Oaxaca,1017,16131,1301
245,2017,Puebla,1076,18776,3916
246,2017,Queretaro,218,9587,3240
247,2017,Quintana_Roo,454,10724,1871
248,2017,San_Luis_Potosi,506,11745,2345
249,2017,Sinaloa,1638,16242,6792
250,2017,Sonora,756,15192,4410
251,2017,Tabasco,450,10604,1612
252,2017,Tamaulipas,1189,14372,6116
253,2017,Tlaxcala,126,4355,630
254,2017,Veracruz,1844,32031,3942
255,2017,Yucatan,52,10177,2453
256,2017,Zacatecas,707,8046,2397
257,2018,Aguascalientes,82,6608,3542
258,2018,Baja_California,2912,17157,3889
259,2018,Baja_California_Sur,200,2244,1067
260,2018,Campeche,79,4398,2011
261,2018,Coahuila,244,14871,6280
262,2018,Colima,747,3090,1255
263,2018,Chiapas,662,22412,2717
264,2018,Chihuahua,2978,15787,8976
265,2018,Ciudad_de_Mexico,1469,26521,12720
266,2018,Durango,178,7193,2068
267,2018,Guanajuato,3517,31590,9545
268,2018,Guerrero,2367,14660,3613
269,2018,Hidalgo,340,9075,2785
270,2018,Jalisco,2928,35561,4944
271,2018,México,3170,61064,19409
272,2018,Michoacan,2076,20635,5235
273,2018,Morelos,823,7835,1407
274,2018,Nayarit,397,5465,1631
275,2018,Nuevo_Leon,850,25663,16373
276,2018,Oaxaca,1128,15822,2184
277,2018,Puebla,1249,17711,4313
278,2018,Queretaro,229,8686,2866
279,2018,Quintana_Roo,841,10681,3052
280,2018,San_Luis_Potosi,563,11565,4417
281,2018,Sinaloa,1214,16021,7161
282,2018,Sonora,936,15213,5650
283,2018,Tabasco,569,8984,1720
284,2018,Tamaulipas,1437,13749,6395
285,2018,Tlaxcala,152,3936,734
286,2018,Veracruz,1516,29143,3909
287,2018,Yucatan,59,10168,2433
288,2018,Zacatecas,773,7790,2255
289,2019,Aguascalientes,120,6925,3367
290,2019,Baja_California,2823,16931,4144
291,2019,Baja_California_Sur,104,2418,1036
292,2019,Campeche,83,4610,2544
293,2019,Coahuila,306,14982,7522
294,2019,Colima,830,3341,1241
295,2019,Chiapas,619,21477,3085
296,2019,Chihuahua,2936,16588,8897
297,2019,Ciudad_de_Mexico,1301,27462,12221
298,2019,Durango,175,7484,1988
299,2019,Guanajuato,4019,30870,10550
300,2019,Guerrero,1937,14816,3679
301,2019,Hidalgo,479,9046,3465
302,2019,Jalisco,2525,35823,5444
303,2019,México,3242,63323,20295
304,2019,Michoacan,2462,21144,5680
305,2019,Morelos,1059,7332,1694
306,2019,Nayarit,218,5441,1516
307,2019,Nuevo_Leon,987,25699,14394
308,2019,Oaxaca,1164,15458,2473
309,2019,Puebla,1274,17149,3971
310,2019,Queretaro,224,8855,2725
311,2019,Quintana_Roo,750,10734,3057
312,2019,San_Luis_Potosi,522,11942,3680
313,2019,Sinaloa,1133,16335,8183
314,2019,Sonora,1384,15579,5495
315,2019,Tabasco,691,9489,2038
316,2019,Tamaulipas,883,14295,6437
317,2019,Tlaxcala,189,3878,761
318,2019,Veracruz,1493,28347,3351
319,2019,Yucatan,46,9718,2564
320,2019,Zacatecas,683,7432,2610
321,2020,Aguascalientes,93,4789,2953
322,2020,Baja_California,2967,11249,1587
323,2020,Baja_California_Sur,78,1614,770
324,2020,Campeche,76,2983,1529
325,2020,Coahuila,242,11817,6230
326,2020,Colima,694,2508,739
327,2020,Chiapas,536,16536,1186
328,2020,Chihuahua,3468,10828,5027
329,2020,Ciudad_de_Mexico,1340,11938,5134
330,2020,Durango,168,5965,1219
331,2020,Guanajuato,5370,17528,7561
332,2020,Guerrero,1507,11792,1578
333,2020,Hidalgo,366,6625,2113
334,2020,Jalisco,2241,25699,3713
335,2020,México,3089,40940,8920
336,2020,Michoacan,2400,10885,3468
337,2020,Morelos,988,6052,1048
338,2020,Nayarit,185,3876,939
339,2020,Nuevo_Leon,919,19611,9353
340,2020,Oaxaca,875,10773,1121
341,2020,Puebla,1031,12695,1848
342,2020,Queretaro,227,5631,2839
343,2020,Quintana_Roo,628,7104,1811
344,2020,San_Luis_Potosi,803,8831,2366
345,2020,Sinaloa,866,11557,4199
346,2020,Sonora,1582,10910,2842
347,2020,Tabasco,585,4095,815
348,2020,Tamaulipas,800,9730,4552
349,2020,Tlaxcala,154,2530,530
350,2020,Veracruz,1179,20209,1957
351,2020,Yucatan,72,3118,1214
352,2020,Zacatecas,1244,5145,1578
353,2021,Aguascalientes,103,6793,3558
354,2021,Baja_California,3248,15326,4083
355,2021,Baja_California_Sur,77,2311,1181
356,2021,Campeche,107,4932,3008
357,2021,Coahuila,171,14872,8268
358,2021,Colima,607,3261,958
359,2021,Chiapas,568,12533,3687
360,2021,Chihuahua,2739,16846,8324
361,2021,Ciudad_de_Mexico,1076,20131,8483
362,2021,Durango,143,8282,2111
363,2021,Guanajuato,4333,28436,9211
364,2021,Guerrero,1468,14393,2905
365,2021,Hidalgo,287,7378,3385
366,2021,Jalisco,2274,34527,6417
367,2021,México,3119,49190,11258
368,2021,Michoacan,2696,18682,5641
369,2021,Morelos,1199,7110,2209
370,2021,Nayarit,222,4778,1518
371,2021,Nuevo_Leon,1070,25894,12898
372,2021,Oaxaca,786,12916,2412
373,2021,Puebla,847,16167,4072
374,2021,Queretaro,231,8038,3180
375,2021,Quintana_Roo,677,10564,3204
376,2021,San_Luis_Potosi,797,11166,3412
377,2021,Sinaloa,635,15772,8611
378,2021,Sonora,2089,14271,5073
379,2021,Tabasco,453,9492,2570
380,2021,Tamaulipas,739,13968,7988
381,2021,Tlaxcala,160,3340,965
382,2021,Veracruz,948,23893,3698
383,2021,Yucatan,55,10784,2833
384,2021,Zacatecas,1776,7039,2554
